employee_id	full_name	date_of_birth	gender	email	phone_number	hire_date	job_title	employment_type	department_id	status	last_promotion_date	Password	salary_base
E060	Corey Carter	1966-08-09	Female	bethsampson@hotmail.com	036.613.3927	2017-06-28	Manager	Full-time	5	On Leave	2021-07-01	CE060	9052.24
E066	Matthew Thomas	1997-07-23	Male	aarongarcia@cook.biz	001-696-294-7205x2880	2018-06-18	HR Specialist	Full-time	1	Active	2024-11-20	ME066	7064.13
E069	Alexis Tucker	2002-06-19	Male	douglas85@gmail.com	937137557	2023-11-11	Analyst	Full-time	1	Terminated	2022-03-10	AE069	6639.44
E070	Jared Burke	2001-03-27	Male	brittany30@hotmail.com	(287)240-8949x745	2021-10-13	Analyst	Full-time	2	Terminated	2023-10-09	JE070	9642.12
E078	Gary Bailey	1983-07-09	Male	olivia10@gmail.com	714.249.3501	2018-04-17	HR Specialist	Full-time	2	Active	2021-09-12	GE078	8645.94
E080	Austin Moses	1982-08-18	Male	jacqueline48@hotmail.com	710-735-2594	2019-07-01	Consultant	Full-time	4	On Leave	2025-06-12	AE080	8028.42
E095	Darren Green	1969-12-12	Female	ryanfelicia@yahoo.com	514.614.2212	2019-05-26	Developer	Full-time	5	On Leave	2021-01-21	DE095	7499.25
E098	Katherine Brown	1976-03-31	Female	gonzalezdale@hotmail.com	001-093-834-0562x91790	2020-11-21	Consultant	Full-time	1	Active	2023-12-18	KE098	9999.35
E099	Lisa Herrera	1967-10-23	Female	salazarsusan@sims.com	195.140.0741	2016-07-26	Developer	Full-time	1	Active	2022-09-03	LE099	9647.28
E100	Tracy Williams	1986-06-11	Female	rileyedward@hotmail.com	878-660-5092x415	2021-09-22	Manager	Full-time	5	Terminated	2022-04-13	TE100	6314.93
